IND	POP	SEX	Weights	Date
LDG1	LD	M	32	W0
LDG2	LD	M	35	W0
LDG3	LD	M	28	W0
LDG4	LD	M	33	W0
LDG5	LD	M	31	W0
LDG6	LD	M	27	W0
LDG7	LD	M	31	W0
LDG8	LD	M	29	W0
LDG9	LD	M	26	W0
LDG10	LD	M	33	W0
LDM16	LD	F	27	W0
LDM17	LD	F	26	W0
LDM18	LD	F	26	W0
LDM19	LD	F	27	W0
LDM20	LD	F	26	W0
LDM21	LD	F	28	W0
LDM22	LD	F	29	W0
LDM28	LD	F	27	W0
LDM29	LD	F	33	W0
LDM30	LD	F	32	W0
LAG24	LA	M	34	W0
LAG38	LA	M	29	W0
LAG48	LA	M	30	W0
LAG2	LA	M	29	W0
LAG4	LA	M	28	W0
LAG5	LA	M	30	W0
LAG8	LA	M	31	W0
LAG15	LA	M	28	W0
LAG18	LA	M	28	W0
LAG25	LA	M	32	W0
LAM447	LA	F	28	W0
LAM573	LA	F	29	W0
LAM732	LA	F	27	W0
LAM8158	LA	F	27	W0
LAM8151	LA	F	31	W0
LAM8135	LA	F	31	W0
LAM768	LA	F	31	W0
LAM793	LA	F	37	W0
LAM7104	LA	F	32	W0
LAM7132	LA	F	28	W0
CBG1	CB	M	30	W0
CBG2	CB	M	31	W0
CBG3	CB	M	28	W0
CBG4	CB	M	29	W0
CBG5	CB	M	29	W0
CBG6	CB	M	32	W0
CBG7	CB	M	35	W0
CBG8	CB	M	30	W0
CBG9	CB	M	25	W0
CBG10	CB	M	26	W0
CBM1	CB	F	30	W0
CBM2	CB	F	30	W0
CBM3	CB	F	30	W0
CBM4	CB	F	30	W0
CBM5	CB	F	29	W0
CBM6	CB	F	28	W0
CBM7	CB	F	29	W0
CBM8	CB	F	30	W0
CBM9	CB	F	31	W0
CBM10	CB	F	26	W0
CKG1	CK	M	39	W0
CKG2	CK	M	34	W0
CKG3	CK	M	34	W0
CKG4	CK	M	35	W0
CKG5	CK	M	34	W0
CKG6	CK	M	36	W0
CKG7	CK	M	36	W0
CKG8	CK	M	36	W0
CKG9	CK	M	34	W0
CKG10	CK	M	33	W0
CKM1	CK	F	32	W0
CKM2	CK	F	31	W0
CKM3	CK	F	29	W0
CKM4	CK	F	30	W0
CKM5	CK	F	31	W0
CKM6	CK	F	3	W0
CKM7	CK	F	28	W0
CKM8	CK	F	30	W0
CKM9	CK	F	30	W0
CKM10	CK	F	33	W0
