Tissue	GRM5	TYR	LOC107052320	NOX4
Cerebral cortex	80.9734	0.416675	0.0186039	0.938078
Hypothalamus	46.3589	0.219871	0.00879629	0.900375
Cerebellum	16.973	0.0123241	0.00338083	0.626229
Retina	14.5311	1.08205	0.0499468	1.59849
Skin	0.66503	5.3926	0.837359	15.6993
Leg muscle	0.354949	0.0163553	0.0267233	12.4596
Crop	0.120816	0.0137477	0.427508	3.22934
Testis	0.07971	0.229637	129.109	1.29852
Pancreas	0.0788258	0.0344196	0.475265	1.30344
Gizzard	0.0757143	0.0106157	2.62539	6.19409
Breast muscle	0.0667696	0.00494435	0.0171166	4.44497
Thymus	0.0609705	0.0299836	0.00360598	1.9471
Ovary	0.0562216	0.800226	0.00747708	3.57197
Thyroid	0.0549792	0.0419228	0.0549227	17.4787
Trachea	0.0417408	0.00636144	0.362388	7.73526
Lung	0.0392926	0.0289867	0.138197	16.2547
Ileum	0.0310136	0.0087536	0.0290244	10.6305
Bone marrow	0.0302169	0.0210048	0.0146575	1.91723
Blood vessel	0.0255822	0.451513	1.89241	9.38856
Heart	0.0228251	0.0801972	0.633236	14.1587
Jejunum	0.0223599	0.00567131	0.0169235	7.05992
Cecum	0.0211326	0.00941595	0.0157706	4.74867
Spleen	0.0196577	0.00718443	0.0080022	1.71292
Duodenum	0.0183301	0.0044955	0.0212636	4.92741
Adrenals	0.0172473	0.0362109	0.739629	3.82081
Fat	0.0155045	0.0981122	1.86957	40.4844
Bursa	0.00864833	0.0130217	0.732721	1.76164
Tibial growth plate	0.00733486	0.000782887	0.0024191	0.280637
Proventriculus	0.00649931	0.00328584	0.261359	1.01802
Liver	0.00527422	0.0014554	0.975168	1.15058
Kidney	0.0052355	0.00950074	0.163823	10.783
Whole blood	0.00465272	0.000206118	0.000404169	0.00420344
